,NUTR_CONT4,NUTR_CONT2,NUTR_CONT3,DESC_KOR
475,,,36.0,치킨퐁듀 그라탕
476,,,32.0,퀴노아 치킨 샐러드
477,,,8.0,트러플 리조또
478,,,17.0,포테이토 순살치킨(3조각)
479,,,42.0,프레시 코울슬로
480,,,1.0,프레시 콘샐러드
481,,,2.0,프렌치 라따뚜이
482,,,20.0,하프&하프 스파게티 (NEW 치즈 & 화이트 크림)
483,,,28.0,화이트 크림 스파게티
484,,,29.0,NEW 치즈 볼로네즈 스파게티
485,,0.0,22.0,티본스테이크&쉬림프(클래식)M
486,,0.0,11.0,티본스테이크&쉬림프(클래식)L
487,,,13.0,티본스테이크&쉬림프(크런치)M
488,,,13.0,티본스테이크&쉬림프(크런치)L
489,,,14.0,티본스테이크&쉬림프(리치골드)M
490,,,13.0,티본스테이크&쉬림프(리치골드)L
491,,,14.0,티본스테이크&쉬림프(치즈크러스트)M
492,,,13.0,티본스테이크&쉬림프(치즈크러스트)L
493,,,23.0,더블치즈 티본스테이크(클래식)M
494,,,22.0,더블치즈 티본스테이크(클래식)L
495,,,13.0,더블치즈 티본스테이크(크런치)M
496,,,13.0,더블치즈 티본스테이크(크런치)L
497,,,14.0,더블치즈 티본스테이크(리치골드)M
498,,,13.0,더블치즈 티본스테이크(리치골드)L
499,,,14.0,더블치즈 티본스테이크(치즈크러스트)M
500,,,13.0,더블치즈 티본스테이크(치즈크러스트)L
501,,,23.0,쉬림프올인(클래식)M
502,,,12.0,쉬림프올인(클래식)L
503,,,12.0,쉬림프올인(크런치)M
504,,,13.0,쉬림프올인(크런치)L
505,,,14.0,쉬림프올인(리치골드)M
506,,,13.0,쉬림프올인(리치골드)L
507,,,13.0,쉬림프올인(치즈크러스트)M
508,,,13.0,쉬림프올인(치즈크러스트)L
509,,,21.0,갈릭버터쉬림프(클래식)M
510,,,11.0,갈릭버터쉬림프(클래식)L
511,,,13.0,갈릭버터쉬림프(크런치)M
512,,,14.0,갈릭버터쉬림프(크런치)L
513,,,15.0,갈릭버터쉬림프(리치골드)M
514,,,15.0,갈릭버터쉬림프(리치골드)L
515,,,14.0,갈릭버터쉬림프(치즈크러스트)M
516,,,14.0,갈릭버터쉬림프(치즈크러스트)L
517,,,13.0,토핑킹(크런치)M
518,,,14.0,토핑킹(크런치)L
519,,,16.0,토핑킹(리치골드)M
520,,,15.0,토핑킹(리치골드)L
521,,,14.0,토핑킹(치즈크러스트)M
522,,,14.0,토핑킹(치즈크러스트)L
523,,,15.0,치즈킹(크런치)M
524,,,15.0,치즈킹(크런치)L
525,,,17.0,치즈킹(리치골드)M
526,,,17.0,치즈킹(리치골드)L
527,,,16.0,치즈킹(치즈크러스트)M
528,,,16.0,치즈킹(치즈크러스트)L
529,,,12.0,큐브스테이크(크런치)M
530,,,13.0,큐브스테이크(크런치)L
531,,,15.0,큐브스테이크(리치골드)M
532,,,14.0,큐브스테이크(리치골드)L
533,,,14.0,큐브스테이크(치즈크러스트)M
534,,,13.0,큐브스테이크(치즈크러스트)L
535,,,12.0,갈릭마블 스테이크(크런치)M
536,,,13.0,갈릭마블 스테이크(크런치)L
537,,,13.0,갈릭마블 스테이크(리치골드)M
538,,,14.0,갈릭마블 스테이크(리치골드)L
539,,,13.0,갈릭마블 스테이크(치즈크러스트)M
540,,,13.0,갈릭마블 스테이크(치즈크러스트)L
541,,,12.0,쉬림프&스테이크 올인(크런치)M
542,,,13.0,쉬림프&스테이크 올인(크런치)L
543,,,14.0,쉬림프&스테이크 올인(리치골드)M
544,,,14.0,쉬림프&스테이크 올인(리치골드)L
545,,,13.0,쉬림프&스테이크 올인(치즈크러스트)M
