,DESC_KOR,NN,category
4006,HOT 화이트 초콜릿,화이트 초콜릿,0
4007,ICED 녹차 라떼,녹차,52
4008,HOT 녹차 라떼,녹차,52
4009,(EX)IXED 녹차 라떼,녹차,52
4010,(EX)HOT 녹차 라떼,녹차,52
4011,ICED 민트 초콜릿,민트,166
4012,HOT 민트 초콜릿,민트,166
4013,ICED 이곡 라떼,이곡,0
4014,HOT 이곡 라떼,이곡,0
4015,ICED 토피 넛 라떼,토피,0
4016,HOT 토피 넛 라떼,토피,0
4017,(EX)IXCED 토피 넛 라떼,토피,0
4018,(EX)HOT 토피 넛 라떼,토피,0
4019,ICED 고구마 라떼,고구마,6
4020,HOT 고구마 라떼,고구마,6
4021,홍시주스,홍시,0
4022,골드키위주스,골드,72
4023,딸기주스,딸기,5
4024,아이스티 복숭아,스티,0
4025,(EX)아이스티 복숭아,아이,0
4026,아이스티 레몬,스티,0
4027,(EX)아이스티 레몬,아이,0
4028,ICED 어린잎 녹차(작설차),녹차,52
4029,HOT 어린잎 녹차(작설차),녹차,52
4030,ICED 얼그레이 홍차(블랙티),그레이,207
4031,HOT 얼그레이 홍차(블랙티),그레이,207
4032,ICED 로즈 자스민 티,로즈,0
4033,HOT 로즈자스민티,로즈,0
4034,ICED 캐모마일레드티,캐모마일,0
4035,HOT 캐모마일레드티,캐모마일,0
4036,ICED 페퍼민트티,페퍼민트티,0
4037,HOT 페퍼민트티,페퍼민트티,0
4038,ICED 밀크티,밀크티,179
4039,HOT 밀크티,밀크티,179
4040,유자차,유자차,0
4041,레몬차,레몬,26
4042,자몽차,nan,0
4043,커피 플랫치노,커피,84
4044,망고 플랫치노,망고,39
4045,모카 플랫치노,모카,123
4046,카라멜 플랫치노,카라멜,59
4047,자몽 플랫치노,플랫,0
4048,그린 애플 플랫치노,애플,101
4049,녹차 플랫치노,녹차,52
4050,초코렛 칩 플랫치노,플랫,0
4051,민트 초코렛 칩 플랫치노,민트,166
4052,플레인 요거트 플랫치노,플레인,40
4053,블루베리 요거트 플랫치노,블루베리,7
4054,딸기 요거트 플랫치노,딸기,5
4055,오리진 쉐이크,오리진,0
4056,초코 쿠키쉐이크,초코,2
4057,딸기 쉐이크,딸기,5
4058,(EX) 레몬에이드,레몬,26
4059,레몬에이드,레몬,26
4060,자몽에이드,에이드,294
4061,(EX) 자몽에이드,에이드,294
4062,청포도에이드,청포도,117
4063,(EX) 청포도에이드,청포도,117
4064,라임에이드,라임에이드,0
4065,(EX) 라임에이드,라임에이드,0
4066,흑당 밀크티 빙수,밀크티,179
4067,딸기 치즈 빙수,딸기,5
4068,아포가토 스트로베리 쿠키,아포가토,0
4069,눈꽃 팥빙수,눈꽃,0
4070,눈꽃 애플망고빙수,눈꽃,0
4071,눈꽃 초코빙수,눈꽃,0
4072,라이언 미니케이크,라이언,0
4073,어피치 미니케이크,어피,0
4074,튜브 미니케이크,튜브,0
4075,크루아상,크루아상,0
4076,갈릭 치즈 브레드,릭,76
4077,떠먹는 티라미수,티라미수,150
4078,떠먹는 롤케이크(플레인),롤케이크,0
4079,떠먹는 롤케익(초코),초코,2
4080,이디야키즈 유기농 곡물바 딸기,이디야,0
4081,미니 코코 크런치,미니,4
4082,크리미초코 감자쿠키,크리미,0
4083,크리미치즈 그레인쿠키,크리미,0
4084,데블스 초코 케이크,초코,2
4085,초코 티라미수,초코,2
4086,수플레 치즈 케이크,수플레,0
4087,브라우니 쿠키,브라우니,248
4088,소고기 브리또,브리,0
4089,핫치킨 브리또,치킨,12
4090,생크림 티라미수빵,크림,28
4091,생크림 초코쿠키빵,크림,28
4092,생크림 팥빵,크림,28
4093,허니 카라멜 브레드,허니,55
4094,메이플 넛 브레드,메이플,0
4095,생크림 와플,크림,28
4096,플레인 와플,플레인,40
